"","x.1","x.2","classes"
"1",-0.0968360113837909,-0.429969775797752,"2"
"2",0.689232997481873,-0.00359154309668708,"2"
"3",0.214288660033342,0.0378930964089067,"1"
"4",0.243255034097065,0.80175786202912,"2"
"5",-0.0462063176297324,-0.604098390582413,"2"
"6",0.128642461444335,0.0682060197196047,"1"
"7",0.489546957116576,-0.022158867616686,"1"
"8",-0.385574053797099,-0.0882262226028578,"2"
"9",0.371853707191587,0.0184716733343524,"1"
"10",0.358281650132884,0.0312998152649077,"1"
"11",0.228655269559621,0.0633973263452116,"1"
"12",0.380157429393977,0.781732351148903,"2"
"13",0.424596108836499,0.040984149248337,"1"
"14",0.691487910237051,0.102497758975363,"2"
"15",0.132614275169471,0.0867204413514756,"1"
"16",-0.294873486625057,-0.020272213654939,"2"
"17",-0.997207728901263,0.472174995308971,"2"
"18",0.450494652808208,0.0615765245244224,"1"
"19",0.340564212929129,0.0806187828681058,"1"
"20",0.00512157500446448,-0.448226395697945,"2"
"21",-0.863083731276952,0.420461134658221,"2"
"22",-0.547909534868945,0.545239804635417,"2"
"23",-0.297151975155977,-0.0356462990631431,"2"
"24",0.266401236249856,0.0924334349803044,"1"
"25",-0.450606598201325,-0.213019304375759,"2"
"26",0.37680978169512,0.0987627553266863,"1"
"27",0.392312354027677,0.109342585241452,"1"
"28",0.33868854863681,0.117653976585237,"1"
"29",0.536873911662964,-0.0349184923309207,"2"
"30",0.479024091656386,0.137340928158145,"1"
"31",0.208582350790925,-0.450950335508164,"2"
"32",0.338910222449183,0.136609064239494,"1"
"33",0.605922549107615,-0.152995868803589,"2"
"34",0.262523925918103,0.136489467292237,"1"
"35",0.655499888193832,-0.2334282623772,"2"
"36",0.262233593466891,0.144115314787112,"1"
"37",0.341580564746507,0.166431940234001,"1"
"38",0.647076839795615,0.222027446062676,"2"
"39",0.277608070787996,0.163094396757305,"1"
"40",0.47647851346338,0.219209326629748,"1"
"41",-0.448257131945001,-0.363742483408469,"2"
"42",0.0869510832253079,0.129270292749118,"1"
"43",-0.33275833946454,0.903218834463384,"2"
"44",0.537182576276738,0.266308982211472,"1"
"45",-0.0351457112973932,0.796247856469398,"2"
"46",-0.0499961088061172,-0.469920670328031,"2"
"47",0.333337495961984,0.216555062457523,"1"
"48",0.324209650169275,0.224323496132728,"1"
"49",-0.376696378120521,0.73593478974096,"2"
"50",0.365453596115131,0.251298325326402,"1"
"51",0.166104527131178,0.180606472612504,"1"
