"town","tract","lon","lat","medv","cmedv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat"
"Nahant",2011,-70.955,42.255,24,24,0.00632,18,2.31,"0",0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98
"Swampscott",2021,-70.95,42.2875,21.6,21.6,0.02731,0,7.07,"0",0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14
"Swampscott",2022,-70.936,42.283,34.7,34.7,0.02729,0,7.07,"0",0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03
"Marblehead",2031,-70.928,42.293,33.4,33.4,0.03237,0,2.18,"0",0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94
"Marblehead",2032,-70.922,42.298,36.2,36.2,0.06905,0,2.18,"0",0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33
"Marblehead",2033,-70.9165,42.304,28.7,28.7,0.02985,0,2.18,"0",0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21
"Salem",2041,-70.936,42.297,22.9,22.9,0.08829,12.5,7.87,"0",0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43
"Salem",2042,-70.9375,42.31,27.1,22.1,0.14455,12.5,7.87,"0",0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15
"Salem",2043,-70.933,42.312,16.5,16.5,0.21124,12.5,7.87,"0",0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93
"Salem",2044,-70.929,42.316,18.9,18.9,0.17004,12.5,7.87,"0",0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1
"Salem",2045,-70.935,42.316,15,15,0.22489,12.5,7.87,"0",0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45
"Salem",2046,-70.944,42.317,18.9,18.9,0.11747,12.5,7.87,"0",0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27
"Salem",2047,-70.951,42.306,21.7,21.7,0.09378,12.5,7.87,"0",0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71
"Lynn",2051,-70.9645,42.292,20.4,20.4,0.62976,0,8.14,"0",0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26
"Lynn",2052,-70.972,42.287,18.2,18.2,0.63796,0,8.14,"0",0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26
"Lynn",2053,-70.9765,42.294,19.9,19.9,0.62739,0,8.14,"0",0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47
"Lynn",2054,-70.987,42.2985,23.1,23.1,1.05393,0,8.14,"0",0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58
