"","address","addresses","all","business","capitalAve","capitalLong","capitalTotal","charDollar","charExclamation","charHash","charRoundbracket","charSemicolon","charSquarebracket","conference","credit","cs","data","direct","edu","email","font","free","george","hp","hpl","internet","lab","labs","mail","make","meeting","money","num000","num1999","num3d","num415","num650","num85","num857","order","original","our","over","parts","people","pm","project","re","receive","remove","report","table","technology","telnet","type","will","you","your"
"1",0.64,0,0.64,0,3.756,61,278,0,0.778,0,0,0,0,0,0,0,0,0,0,1.29,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,"spam",0.64,1.93,0.96
"2",0.28,0.14,0.5,0.07,5.114,101,1028,0.18,0.372,0.048,0.132,0,0,0,0,0,0,0,0,0.28,0,0.14,0,0,0,0.07,0,0,0.94,0.21,0,0.43,0.43,0.07,0,0,0,0,0,0,0,0.14,0.28,0,0.65,0,0,0,0.21,0.21,0.21,0,0,0,"spam",0.79,3.47,1.59
"3",0,1.75,0.71,0.06,9.821,485,2259,0.184,0.276,0.01,0.143,0.01,0,0,0.32,0,0,0.06,0.06,1.03,0,0.06,0,0,0,0.12,0,0,0.25,0.06,0,0.06,1.16,0,0,0,0,0,0,0.64,0.12,1.23,0.19,0,0.12,0,0,0.06,0.38,0.19,0,0,0,0,"spam",0.45,1.36,0.51
"4",0,0,0,0,3.537,40,191,0,0.137,0,0.137,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0.63,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0.31,0,0.63,0,0,0.31,0,0,0,0.31,0.31,0,0,0,0,"spam",0.31,3.18,0.31
"5",0,0,0,0,3.537,40,191,0,0.135,0,0.135,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0.63,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0.31,0,0.63,0,0,0.31,0,0,0,0.31,0.31,0,0,0,0,"spam",0.31,3.18,0.31
"6",0,0,0,0,3,15,54,0,0,0,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,"spam",0,0,0
"7",0,0,0,0,1.671,4,112,0.054,0.164,0,0.054,0,0,0,0,0,0,0,0,0.32,0,0.96,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0.96,0,0,0,0,0,"spam",1.28,3.85,0.64
"8",0,0,0,0,2.45,11,49,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,"spam",0,0,0
"9",0,0,0.46,0,9.744,445,1257,0.203,0.181,0.022,0.271,0,0,0,3.53,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0.76,0.15,0,0.15,0,0,0,0,0,0,0,0.92,0.3,0.61,0,0,0,0,0,0,0.76,0.3,0,0,0,0,"spam",0.92,1.23,2
"10",0.12,0.12,0.77,0,1.729,43,749,0.081,0.244,0,0.03,0.04,0,0,0.06,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0.06,0,0,0.19,0,0,0,0,0,0,0.06,0,0.19,0.32,0,0.25,0,0.06,0,0,0.38,0,0,0,0,"spam",0.64,1.67,0.71
