"count","apparent_temperature","date","holiday","hour","humidity","month","season","temperature","weather","weekday","windspeed","working_day","year"
16,0.2879,"2011-01-01",FALSE,0,0.81,1,"winter",0.24,"1",6,0,FALSE,0
40,0.2727,"2011-01-01",FALSE,1,0.8,1,"winter",0.22,"1",6,0,FALSE,0
32,0.2727,"2011-01-01",FALSE,2,0.8,1,"winter",0.22,"1",6,0,FALSE,0
13,0.2879,"2011-01-01",FALSE,3,0.75,1,"winter",0.24,"1",6,0,FALSE,0
1,0.2879,"2011-01-01",FALSE,4,0.75,1,"winter",0.24,"1",6,0,FALSE,0
1,0.2576,"2011-01-01",FALSE,5,0.75,1,"winter",0.24,"2",6,0.0896,FALSE,0
2,0.2727,"2011-01-01",FALSE,6,0.8,1,"winter",0.22,"1",6,0,FALSE,0
3,0.2576,"2011-01-01",FALSE,7,0.86,1,"winter",0.2,"1",6,0,FALSE,0
8,0.2879,"2011-01-01",FALSE,8,0.75,1,"winter",0.24,"1",6,0,FALSE,0
14,0.3485,"2011-01-01",FALSE,9,0.76,1,"winter",0.32,"1",6,0,FALSE,0
36,0.3939,"2011-01-01",FALSE,10,0.76,1,"winter",0.38,"1",6,0.2537,FALSE,0
56,0.3333,"2011-01-01",FALSE,11,0.81,1,"winter",0.36,"1",6,0.2836,FALSE,0
84,0.4242,"2011-01-01",FALSE,12,0.77,1,"winter",0.42,"1",6,0.2836,FALSE,0
94,0.4545,"2011-01-01",FALSE,13,0.72,1,"winter",0.46,"2",6,0.2985,FALSE,0
106,0.4545,"2011-01-01",FALSE,14,0.72,1,"winter",0.46,"2",6,0.2836,FALSE,0
110,0.4394,"2011-01-01",FALSE,15,0.77,1,"winter",0.44,"2",6,0.2985,FALSE,0
93,0.4242,"2011-01-01",FALSE,16,0.82,1,"winter",0.42,"2",6,0.2985,FALSE,0
67,0.4394,"2011-01-01",FALSE,17,0.82,1,"winter",0.44,"2",6,0.2836,FALSE,0
35,0.4242,"2011-01-01",FALSE,18,0.88,1,"winter",0.42,"3",6,0.2537,FALSE,0
37,0.4242,"2011-01-01",FALSE,19,0.88,1,"winter",0.42,"3",6,0.2537,FALSE,0
36,0.4091,"2011-01-01",FALSE,20,0.87,1,"winter",0.4,"2",6,0.2537,FALSE,0
34,0.4091,"2011-01-01",FALSE,21,0.87,1,"winter",0.4,"2",6,0.194,FALSE,0
28,0.4091,"2011-01-01",FALSE,22,0.94,1,"winter",0.4,"2",6,0.2239,FALSE,0
39,0.4545,"2011-01-01",FALSE,23,0.88,1,"winter",0.46,"2",6,0.2985,FALSE,0
17,0.4545,"2011-01-02",FALSE,0,0.88,1,"winter",0.46,"2",0,0.2985,FALSE,0
17,0.4394,"2011-01-02",FALSE,1,0.94,1,"winter",0.44,"2",0,0.2537,FALSE,0
9,0.4242,"2011-01-02",FALSE,2,1,1,"winter",0.42,"2",0,0.2836,FALSE,0
6,0.4545,"2011-01-02",FALSE,3,0.94,1,"winter",0.46,"2",0,0.194,FALSE,0
3,0.4545,"2011-01-02",FALSE,4,0.94,1,"winter",0.46,"2",0,0.194,FALSE,0
2,0.4242,"2011-01-02",FALSE,6,0.77,1,"winter",0.42,"3",0,0.2985,FALSE,0
1,0.4091,"2011-01-02",FALSE,7,0.76,1,"winter",0.4,"2",0,0.194,FALSE,0
8,0.4091,"2011-01-02",FALSE,8,0.71,1,"winter",0.4,"3",0,0.2239,FALSE,0
20,0.3939,"2011-01-02",FALSE,9,0.76,1,"winter",0.38,"2",0,0.2239,FALSE,0
53,0.3485,"2011-01-02",FALSE,10,0.81,1,"winter",0.36,"2",0,0.2239,FALSE,0
70,0.3333,"2011-01-02",FALSE,11,0.71,1,"winter",0.36,"2",0,0.2537,FALSE,0
93,0.3333,"2011-01-02",FALSE,12,0.66,1,"winter",0.36,"2",0,0.2985,FALSE,0
75,0.3485,"2011-01-02",FALSE,13,0.66,1,"winter",0.36,"2",0,0.1343,FALSE,0
59,0.3485,"2011-01-02",FALSE,14,0.76,1,"winter",0.36,"3",0,0.194,FALSE,0
74,0.3333,"2011-01-02",FALSE,15,0.81,1,"winter",0.34,"3",0,0.1642,FALSE,0
