"Survived","PassengerId"
"0",892
"1",893
"0",894
"0",895
"1",896
"0",897
"1",898
"0",899
"1",900
"0",901
"0",902
"0",903
"1",904
"0",905
"1",906
"1",907
"0",908
"0",909
"1",910
"1",911
"0",912
"0",913
"1",914
"0",915
"1",916
"0",917
"1",918
"0",919
"0",920
"0",921
"0",922
"0",923
"1",924
"1",925
"0",926
"0",927
"1",928
"1",929
"0",930
"0",931
"0",932
"0",933
"0",934
"1",935
"1",936
"0",937
"0",938
"0",939
"1",940
"1",941
"0",942
"0",943
"1",944
"1",945
"0",946
"0",947
"0",948
"0",949
"0",950
"1",951
"0",952
"0",953
"0",954
"1",955
"0",956
"1",957
"1",958
"0",959
"0",960
"1",961
"1",962
"0",963
"1",964
"0",965
"1",966
"0",967
"0",968
"1",969
"0",970
"1",971
"0",972
"0",973
"0",974
"0",975
"0",976
"0",977
"1",978
"1",979
"1",980
"0",981
"1",982
"0",983
"1",984
"0",985
"0",986
"0",987
"1",988
"0",989
"1",990
"0",991
"1",992
"0",993
"0",994
"0",995
"1",996
"0",997
"0",998
"0",999
"0",1000
"0",1001
"0",1002
"1",1003
"1",1004
"1",1005
"1",1006
"0",1007
"0",1008
"1",1009
"0",1010
"1",1011
"1",1012
"0",1013
"1",1014
"0",1015
"0",1016
"1",1017
"0",1018
"1",1019
"0",1020
"0",1021
"0",1022
"0",1023
"1",1024
"0",1025
"0",1026
"0",1027
"0",1028
"0",1029
"1",1030
"0",1031
"1",1032
"1",1033
"0",1034
"0",1035
"0",1036
"0",1037
"0",1038
"0",1039
"0",1040
"0",1041
"1",1042
"0",1043
"0",1044
"1",1045
"0",1046
"0",1047
"1",1048
"1",1049
"0",1050
"1",1051
"1",1052
"0",1053
"1",1054
"0",1055
"0",1056
"1",1057
"0",1058
"0",1059
"1",1060
"1",1061
"0",1062
"0",1063
"0",1064
"0",1065
"0",1066
"1",1067
"1",1068
"0",1069
"1",1070
"1",1071
"0",1072
"0",1073
"1",1074
"0",1075
"1",1076
"0",1077
"1",1078
"0",1079
"1",1080
"0",1081
"0",1082
"0",1083
"0",1084
"0",1085
"0",1086
"0",1087
"0",1088
"1",1089
"0",1090
"1",1091
"1",1092
"0",1093
"0",1094
"1",1095
"0",1096
"0",1097
"1",1098
"0",1099
"1",1100
"0",1101
"0",1102
"0",1103
"0",1104
"1",1105
"1",1106
"0",1107
"1",1108
"0",1109
"1",1110
"0",1111
"1",1112
"0",1113
"1",1114
"0",1115
"1",1116
"1",1117
"0",1118
"1",1119
"0",1120
"0",1121
"0",1122
"1",1123
"0",1124
"0",1125
"0",1126
"0",1127
"0",1128
"0",1129
"1",1130
"1",1131
"1",1132
"1",1133
"0",1134
"0",1135
"0",1136
"0",1137
"1",1138
"0",1139
"1",1140
"1",1141
"1",1142
"0",1143
"0",1144
"0",1145
"0",1146
"0",1147
"0",1148
"0",1149
"1",1150
"0",1151
"0",1152
"0",1153
"1",1154
"1",1155
"0",1156
"0",1157
"0",1158
"0",1159
"1",1160
"0",1161
"0",1162
"0",1163
"1",1164
"1",1165
"0",1166
"1",1167
"0",1168
"0",1169
"0",1170
"0",1171
"1",1172
"0",1173
"1",1174
"1",1175
"1",1176
"0",1177
"0",1178
"0",1179
"0",1180
"0",1181
"0",1182
"1",1183
"0",1184
"0",1185
"0",1186
"0",1187
"1",1188
"0",1189
"0",1190
"0",1191
"0",1192
"0",1193
"0",1194
"0",1195
"1",1196
"1",1197
"0",1198
"0",1199
"0",1200
"1",1201
"0",1202
"0",1203
"0",1204
"1",1205
"1",1206
"1",1207
"0",1208
"0",1209
"0",1210
"0",1211
"0",1212
"0",1213
"0",1214
"0",1215
"1",1216
"0",1217
"1",1218
"0",1219
"0",1220
"0",1221
"1",1222
"0",1223
"0",1224
"1",1225
"0",1226
"0",1227
"0",1228
"0",1229
"0",1230
"0",1231
"0",1232
"0",1233
"0",1234
"1",1235
"0",1236
"1",1237
"0",1238
"1",1239
"0",1240
"1",1241
"1",1242
"0",1243
"0",1244
"0",1245
"1",1246
"0",1247
"1",1248
"0",1249
"0",1250
"1",1251
"0",1252
"1",1253
"1",1254
"0",1255
"1",1256
"1",1257
"0",1258
"1",1259
"1",1260
"0",1261
"0",1262
"1",1263
"0",1264
"0",1265
"1",1266
"1",1267
"1",1268
"0",1269
"0",1270
"0",1271
"0",1272
"0",1273
"1",1274
"1",1275
"0",1276
"1",1277
"0",1278
"0",1279
"0",1280
"0",1281
"0",1282
"1",1283
"0",1284
"0",1285
"0",1286
"1",1287
"0",1288
"1",1289
"0",1290
"0",1291
"1",1292
"0",1293
"1",1294
"0",1295
"0",1296
"0",1297
"0",1298
"0",1299
"1",1300
"1",1301
"1",1302
"1",1303
"1",1304
"0",1305
"1",1306
"0",1307
"0",1308
"0",1309
